,Lambda,estimand,side,estimate,sterr_if,sterr_boot,bootmean,quantiles50,quantiles90,quantiles95
1,1.153,1,lower,0.3196159533186296,0.009196547527772552,,,,,
2,1.153,0,upper,0.34243021127517675,0.008341836051907744,,,,,
3,1.153,0,lower,0.3045888420942111,0.007382324535667779,,,,,
4,1.153,ATE,upper,0.07263764320963793,0.012815216994741137,,,,,
5,1.153,ATE,lower,-0.022814257956547162,0.011944804258742696,,,,,
6,1.153,ATT,upper,0.07838049019674873,0.012285004953150548,,,,,
7,1.153,ATT,lower,-0.02098775717176676,0.014061789642613662,,,,,
8,1.153,ATC,upper,0.023937625378107383,0.011442563465391688,,,,,
9,1.153,ATC,lower,-0.06910557398410991,0.013873835600865391,,,,,
0,1.154,1,upper,0.3774281341458022,0.011007753400291899,,,,,
1,1.154,1,lower,0.31946440168709855,0.009191890753537697,,,,,
2,1.154,0,upper,0.3425626639363537,0.008345311903251648,,,,,
3,1.154,0,lower,0.3044892956911296,0.007379900078513532,,,,,
4,1.154,ATE,upper,0.07293883845467264,0.012819211554597084,,,,,
5,1.154,ATE,lower,-0.023098262249255166,0.011943471346912319,,,,,
6,1.154,ATT,upper,0.07864189066454756,0.012281018989887902,,,,,
7,1.154,ATT,lower,-0.021335566701002107,0.014069335514882956,,,,,
8,1.154,ATC,upper,0.024182387024638062,0.011436647492098556,,,,,
9,1.154,ATC,lower,-0.06943124453004104,0.013883048990773514,,,,,
0,1.155,1,upper,0.3776297829877555,0.0110141722518033,,,,,
1,1.155,1,lower,0.3193131124826351,0.009187242612049958,,,,,
2,1.155,0,upper,0.34269511659753077,0.008348788476890153,,,,,
3,1.155,0,lower,0.30438992166277196,0.007377480407978714,,,,,
4,1.155,ATE,upper,0.07323986132498346,0.0128232110395965,,,,,
5,1.155,ATE,lower,-0.02338200411489563,0.011942147479109341,,,,,
6,1.155,ATT,upper,0.07890283849084374,0.012277042909400777,,,,,
7,1.155,ATT,lower,-0.021683376230237538,0.01407689033392613,,,,,
8,1.155,ATC,upper,0.024426724841477798,0.011430744290555506,,,,,
9,1.155,ATC,lower,-0.06975691507597222,0.013892266604455897,,,,,
0,1.156,1,upper,0.37783143182970863,0.011020591690429784,,,,,
1,1.156,1,lower,0.31916208502420024,0.009182603080291653,,,,,
2,1.156,0,upper,0.3428275692587077,0.008352265771921304,,,,,
3,1.156,0,lower,0.3042907195617991,0.007375065510692736,,,,,
4,1.156,ATE,upper,0.07354071226790952,0.012827215436708882,,,,,
5,1.156,ATE,lower,-0.023665484234507574,0.011940832632586829,,,,,
6,1.156,ATT,upper,0.07916333485031238,0.012273076681200128,,,,,
7,1.156,ATT,lower,-0.022031185759472903,0.014084454071099288,,,,,
8,1.156,ATC,upper,0.02467063992853058,0.011424853824968453,,,,,
9,1.156,ATC,lower,-0.07008258562190336,0.013901488428723451,,,,,
0,1.157,1,upper,0.3780330806716619,0.01102701171514598,,,,,
1,1.157,1,lower,0.31901131863310905,0.009177972135325457,,,,,
2,1.157,0,upper,0.34296002191988467,0.008355743787444468,,,,,
3,1.157,0,lower,0.3041916889424182,0.007372655373333123,,,,,
4,1.157,ATE,upper,0.07384139172924363,0.012831224732950576,,,,,
5,1.157,ATE,lower,-0.023948703286775664,0.011939526784676552,,,,,
6,1.157,ATT,upper,0.07942338091356765,0.012269120274910639,,,,,
7,1.157,ATT,lower,-0.02237899528870832,0.014092026697864581,,,,,
8,1.157,ATC,upper,0.0249141333818979,0.011418976059669095,,,,,
9,1.157,ATC,lower,-0.07040825616783454,0.013910714450438903,,,,,
0,1.158,1,upper,0.3782347295136149,0.011033432324928798,,,,,
1,1.158,1,lower,0.31886081263302163,0.009173349754294045,,,,,
2,1.158,0,upper,0.34309247458106173,0.00835922252256032,,,,,
3,1.158,0,lower,0.30409282936037646,0.007370249982625322,,,,,
4,1.158,ATE,upper,0.07414190015323849,0.012835238915384564,,,,,
5,1.158,ATE,lower,-0.024231661948040085,0.011938229912788626,,,,,
6,1.158,ATT,upper,0.07968297784717993,0.012265173660270221,,,,,
7,1.158,ATT,lower,-0.022726804817943643,0.014099608185789772,,,,,
8,1.158,ATC,upper,0.025157206293894948,0.011413110959114368,,,,,
9,1.158,ATC,lower,-0.07073392671376566,0.013919944656516548,,,,,
0,1.159,1,upper,0.3784363783555682,0.011039853518757445,,,,,
1,1.159,1,lower,0.31871056634993167,0.009168735914419761,,,,,
2,1.159,0,upper,0.34322492724223863,0.008362701976370847,,,,,
3,1.159,0,lower,0.30399414037295425,0.00736784932534247,,,,,
4,1.159,ATE,upper,0.0744422379826139,0.012839257971120267,,,,,
5,1.159,ATE,lower,-0.02451436089230703,0.01193694199441117,,,,,
6,1.159,ATT,upper,0.07994212681369377,0.01226123680712952,,,,,
7,1.159,ATT,lower,-0.023074614347179067,0.014107198506547815,,,,,
8,1.159,ATC,upper,0.02539985975306723,0.011407258487885905,,,,,
9,1.159,ATC,lower,-0.07105959725969685,0.013929179033922016,,,,,
0,1.16,1,upper,0.3786380271975212,0.011046275295613401,,,,,
1,1.16,1,lower,0.31856057911215746,0.00916413059300427,,,,,
2,1.16,0,upper,0.34335737990341575,0.008366182147979344,,,,,
3,1.16,0,lower,0.3038956215389587,0.0073654533883052,,,,,
4,1.16,ATE,upper,0.0747424056585626,0.012843281887313316,,,,,
5,1.16,ATE,lower,-0.024796800791258213,0.011935663007109982,,,,,
6,1.16,ATT,upper,0.08020082897164452,0.012257309685451414,,,,,
7,1.16,ATT,lower,-0.023422423876414418,0.014114797631916445,,,,,
8,1.16,ATC,upper,0.02564209484420637,0.01140141861068952,,,,,
9,1.16,ATC,lower,-0.07138526780562798,0.013938417569672021,,,,,
0,1.161,1,upper,0.3788396760394746,0.011052697654480427,,,,,
1,1.161,1,lower,0.31841085025033117,0.009159533767428197,,,,,
2,1.161,0,upper,0.34348983256459276,0.008369663036490413,,,,,
3,1.161,0,lower,0.30379727241871685,0.007363062158381421,,,,,
4,1.161,ATE,upper,0.07504240362075773,0.012847310651165376,,,,,
5,1.161,ATE,lower,-0.02507898231426156,0.01193439292852818,,,,,
6,1.161,ATT,upper,0.0804590854755765,0.012253392265310522,,,,,
7,1.161,ATT,lower,-0.02377023340564986,0.014122405533777749,,,,,
8,1.161,ATC,upper,0.025883912648366873,0.011395591292354647,,,,,
9,1.161,ATC,lower,-0.07171093835155917,0.01394766025083415,,,,,
0,1.162,1,upper,0.3790413248814277,0.011059120594344544,,,,,
1,1.162,1,lower,0.3182613790973892,0.009154945415150816,,,,,
2,1.162,0,upper,0.3436222852257697,0.00837314464100996,,,,,
3,1.162,0,lower,0.30369909257406913,0.0073606756224861205,,,,,
4,1.162,ATE,upper,0.0753422323073586,0.012851344249923896,,,,,
5,1.162,ATE,lower,-0.025360906128380448,0.011933131736385872,,,,,
6,1.162,ATT,upper,0.08071689747605931,0.01224948451689271,,,,,
7,1.162,ATT,lower,-0.02411804293488519,0.014130022184117762,,,,,
8,1.162,ATC,upper,0.026125314242881614,0.011389776497833837,,,,,
9,1.162,ATC,lower,-0.07203660889749029,0.013956907064526595,,,,,
0,1.163,1,upper,0.37924297372338095,0.01106554411419405,,,,,
1,1.163,1,lower,0.31811216498856243,0.00915036551370969,,,,,
2,1.163,0,upper,0.3437547378869467,0.008376626960645195,,,,,
3,1.163,0,lower,0.30360108156836324,0.007358293767581151,,,,,
4,1.163,ATE,upper,0.07564189215501774,0.012855382670881953,,,,,
5,1.163,ATE,lower,-0.025642572898384258,0.011931879408479834,,,,,
6,1.163,ATT,upper,0.08097426611970557,0.012245586410494613,,,,,
7,1.163,ATT,lower,-0.0244658524641206,0.014137647555026044,,,,,
8,1.163,ATC,upper,0.026366300701378315,0.011383974192202205,,,,,
9,1.163,ATC,lower,-0.07236227944342148,0.013966157997917965,,,,,
0,1.164,1,upper,0.37944462256533407,0.011071968213019487,,,,,
1,1.164,1,lower,0.31796320726136595,0.009145794040720337,,,,,
2,1.164,0,upper,0.3438871905481237,0.008380109994504626,,,,,
3,1.164,0,lower,0.3035032389664472,0.007355916580675025,,,,,
4,1.164,ATE,upper,0.0759413835988869,0.012859425901378008,,,,,
5,1.164,ATE,lower,-0.025923983286757744,0.011930635922683156,,,,,
6,1.164,ATT,upper,0.0812311925491874,0.012241697916523124,,,,,
7,1.164,ATT,lower,-0.024813661993355957,0.01414528161869527,,,,,
8,1.164,ATC,upper,0.026606873093795058,0.011378184340656936,,,,,
9,1.164,ATC,lower,-0.0726879499893526,0.013975413038227006,,,,,
0,1.165,1,upper,0.3796462714072873,0.011078392889813651,,,,,
1,1.165,1,lower,0.3178145052555895,0.009141230973875902,,,,,
2,1.165,0,upper,0.3440196432093008,0.008383593741698067,,,,,
3,1.165,0,lower,0.3034055643346632,0.007353544048822711,,,,,
4,1.165,ATE,upper,0.07624070707262412,0.01286347392879572,,,,,
5,1.165,ATE,lower,-0.02620513795371118,0.011929401256944918,,,,,
6,1.165,ATT,upper,0.08148767790325392,0.012237819005494931,,,,,
7,1.165,ATT,lower,-0.025161471522591364,0.014152924347420819,,,,,
8,1.165,ATC,upper,0.026847032486396524,0.011372406908516732,,,,,
9,1.165,ATC,lower,-0.07301362053528382,0.013984672172722422,,,,,
0,1.166,1,upper,0.37984792024924047,0.011084818143571581,,,,,
1,1.166,1,lower,0.31766605831328787,0.009136676290946815,,,,,
2,1.166,0,upper,0.3441520958704777,0.008387078201336618,,,,,
3,1.166,0,lower,0.30330805724084114,0.007351176159125435,,,,,
4,1.166,ATE,upper,0.07653986300839938,0.012867526740563748,,,,,
5,1.166,ATE,lower,-0.026486037557189836,0.01192817538928987,,,,,
6,1.166,ATT,upper,0.08174372331674734,0.01223394964803603,,,,,
7,1.166,ATT,lower,-0.02550928105182671,0.014160575713600366,,,,,
8,1.166,ATC,upper,0.027086779941789416,0.011366641861221317,,,,,
9,1.166,ATC,lower,-0.07333929108121492,0.013993935388722586,,,,,
0,1.167,1,upper,0.38004956909119364,0.01109124397329056,,,,,
1,1.167,1,lower,0.3175178657787708,0.009132129969780464,,,,,
2,1.167,0,upper,0.34428454853165474,0.008390563372532684,,,,,
3,1.167,0,lower,0.30321071725429205,0.007348812898730467,,,,,
4,1.167,ATE,upper,0.07683885183690164,0.012871584324155548,,,,,
5,1.167,ATE,lower,-0.02676668275288399,0.011926958297818091,,,,,
6,1.167,ATT,upper,0.08199932992062046,0.012230089814881242,,,,,
7,1.167,ATT,lower,-0.02585709058106215,0.014168235689733478,,,,,
8,1.167,ATC,upper,0.02732611651893831,0.011360889164330906,,,,,
9,1.167,ATC,lower,-0.07366496162714613,0.01400320267359537,,,,,
0,1.168,1,upper,0.38025121793314687,0.011097670377970098,,,,,
1,1.168,1,lower,0.31736992699859357,0.009127591988300859,,,,,
2,1.168,0,upper,0.3444170011928317,0.008394049254399955,,,,,
3,1.168,0,lower,0.3031135439458022,0.0073464542548309355,,,,,
4,1.168,ATE,upper,0.07713767398734471,0.012875646667089161,,,,,
5,1.168,ATE,lower,-0.027047074194238133,0.011925749960704668,,,,,
6,1.168,ATT,upper,0.08225449884195261,0.01222623947687374,,,,,
7,1.168,ATT,lower,-0.026204900110297507,0.014175904248421196,,,,,
8,1.168,ATC,upper,0.027565043273181065,0.0113551487835257,,,,,
9,1.168,ATC,lower,-0.07399063217307725,0.014012474014757885,,,,,
0,1.169,1,upper,0.38045286677510004,0.011104097356611938,,,,,
1,1.169,1,lower,0.3172222413215476,0.00912306232450831,,,,,
2,1.169,0,upper,0.34454945385400876,0.008397535846053418,,,,,
3,1.169,0,lower,0.3030165368876262,0.0073441002146656074,,,,,
4,1.169,ATE,upper,0.07743632988747387,0.012879713756927032,,,,,
5,1.169,ATE,lower,-0.02732721253246115,0.011924550356199368,,,,,
6,1.169,ATT,upper,0.08250923120396693,0.012222398604964576,,,,,
7,1.169,ATT,lower,-0.026552709639532913,0.014183581362365649,,,,,
8,1.169,ATC,upper,0.02780356125624467,0.011349420684605368,,,,,
9,1.169,ATC,lower,-0.07431630271900842,0.014021749399676256,,,,,
0,1.17,1,upper,0.3806545156170532,0.011110524908220036,,,,,
1,1.17,1,lower,0.31707480809865035,0.009118540956479097,,,,,
2,1.17,0,upper,0.34468190651518565,0.008401023146609345,,,,,
3,1.17,0,lower,0.3029196956534813,0.007341750765518709,,,,,
4,1.17,ATE,upper,0.07773481996357194,0.0128837855812758,,,,,
5,1.17,ATE,lower,-0.027607098416535327,0.011923359462626317,,,,,
6,1.17,ATT,upper,0.0827635281260461,0.0122185671702122,,,,,
7,1.17,ATT,lower,-0.026900519168768247,0.014191267004369634,,,,,
8,1.17,ATC,upper,0.02804167151626027,0.011343704833488547,,,,,
9,1.17,ATC,lower,-0.07464197326493956,0.014031028815865414,,,,,
0,1.171,1,upper,0.38085616445900633,0.011116953031800571,,,,,
1,1.171,1,lower,0.3169276266831364,0.009114027862365141,,,,,
2,1.171,0,upper,0.3448143591763627,0.008404511155185299,,,,,
3,1.171,0,lower,0.3028230198185407,0.007339405894719712,,,,,
4,1.171,ATE,upper,0.07803314464046571,0.012887862127786111,,,,,
5,1.171,ATE,lower,-0.027886732493226315,0.011922177258383682,,,,,
6,1.171,ATT,upper,0.08301739072374946,0.012214745143782006,,,,,
7,1.171,ATT,lower,-0.027248328698003685,0.014198961147336224,,,,,
8,1.171,ATC,upper,0.028279375097778885,0.011338001196212328,,,,,
9,1.171,ATC,lower,-0.07496764381087075,0.01404031225088886,,,,,
0,1.172,1,upper,0.3810578133009596,0.011123381726361917,,,,,
1,1.172,1,lower,0.3167806964304476,0.009109523020393688,,,,,
2,1.172,0,upper,0.34494681183753967,0.008407999870900124,,,,,
3,1.172,0,lower,0.30272650895942776,0.007337065589643146,,,,,
4,1.172,ATE,upper,0.07833130434153188,0.012891943384152414,,,,,
5,1.172,ATE,lower,-0.028166115407092112,0.011921003721943343,,,,,
6,1.172,ATT,upper,0.08327082010882869,0.012210932496945845,,,,,
7,1.172,ATT,lower,-0.027596138227239025,0.01420666376426837,,,,,
8,1.172,ATC,upper,0.02851667304178631,0.011332309738931753,,,,,
9,1.172,ATC,lower,-0.07529331435680188,0.014049599692358436,,,,,
0,1.173,1,upper,0.3812594621429129,0.01112981099091467,,,,,
1,1.173,1,lower,0.31663401669822366,0.009105026408866979,,,,,
2,1.173,0,upper,0.3450792644987167,0.008411489292873955,,,,,
3,1.173,0,lower,0.3026301626542092,0.007334729837708399,,,,,
4,1.173,ATE,upper,0.07862929948870362,0.012896029338112769,,,,,
5,1.173,ATE,lower,-0.028445247800493016,0.011919838831850585,,,,,
6,1.173,ATT,upper,0.08352381738924454,0.01220712920108158,,,,,
7,1.173,ATT,lower,-0.02794394775647443,0.0142143748282685,,,,,
8,1.173,ATC,upper,0.028753566385718753,0.01132663042791932,,,,,
9,1.173,ATC,lower,-0.07561898490273306,0.014058891127934136,,,,,
0,1.174,1,upper,0.3814611109848659,0.01113624082447161,,,,,
1,1.174,1,lower,0.31648758684629313,0.009100538006161936,,,,,
2,1.174,0,upper,0.3452117171598937,0.008414979420228196,,,,,
3,1.174,0,lower,0.30253398048238966,0.00733239862637952,,,,,
4,1.174,ATE,upper,0.07892713050247628,0.012900119977448657,,,,,
5,1.174,ATE,lower,-0.028724130313600483,0.01191868256672377,,,,,
6,1.174,ATT,upper,0.08377638366918268,0.012203335227672616,,,,,
7,1.174,ATT,lower,-0.028291757285709783,0.014222094312538121,,,,,
8,1.174,ATC,upper,0.028990056163477496,0.011320963229564485,,,,,
9,1.174,ATC,lower,-0.07594465544866418,0.014068186545323836,,,,,
0,1.175,1,upper,0.3816627598268192,0.011142671226047713,,,,,
1,1.175,1,lower,0.31634140623666385,0.009096057790729835,,,,,
2,1.175,0,upper,0.3453441698210707,0.008418470252085542,,,,,
3,1.175,0,lower,0.30243796202490525,0.007330071943165026,,,,,
4,1.175,ATE,upper,0.07922479780191401,0.012904215289984788,,,,,
5,1.175,ATE,lower,-0.029002763584406833,0.011917534905254032,,,,,
6,1.175,ATT,upper,0.08402852004906987,0.012199550548307429,,,,,
7,1.175,ATT,lower,-0.028639566814945207,0.014229822190377432,,,,,
8,1.175,ATC,upper,0.029226143405444344,0.011315308110373155,,,,,
9,1.175,ATC,lower,-0.07627032599459538,0.014077485932283135,,,,,
0,1.176,1,upper,0.3818644086687723,0.011149102194660138,,,,,
1,1.176,1,lower,0.31619547423351346,0.009091585741096005,,,,,
2,1.176,0,upper,0.34547662248224764,0.008421961787569963,,,,,
3,1.176,0,lower,0.3023421068641171,0.007327749775617715,,,,,
4,1.176,ATE,upper,0.07952230180465528,0.012908315263588899,,,,,
5,1.176,ATE,lower,-0.029281148248734196,0.01191639582620496,,,,,
6,1.176,ATT,upper,0.08428022762558988,0.012195775134679124,,,,,
7,1.176,ATT,lower,-0.028987376344180544,0.014237558435184917,,,,,
8,1.176,ATC,upper,0.029461829138496275,0.01130966503696721,,,,,
9,1.176,ATC,lower,-0.07659599654052651,0.014086789276615068,,,,,
0,1.177,1,upper,0.38206605751072564,0.01115553372932823,,,,,
1,1.177,1,lower,0.31604979020318064,0.009087121835859488,,,,,
2,1.177,0,upper,0.34560907514342465,0.008425454025806696,,,,,
3,1.177,0,lower,0.3022464145838061,0.007325432111334463,,,,,
4,1.177,ATE,upper,0.07981964292691948,0.012912419886171584,,,,,
5,1.177,ATE,lower,-0.02955928494024401,0.011915265308412281,,,,,
6,1.177,ATT,upper,0.08453150749169956,0.01219200895858498,,,,,
7,1.177,ATT,lower,-0.02933518587341597,0.01424530302045698,,,,,
8,1.177,ATC,upper,0.02969711438602054,0.011304033976083996,,,,,
9,1.177,ATC,lower,-0.0769216670864577,0.01409609656616997,,,,,
0,1.178,1,upper,0.38226770635267876,0.0111619658290735,,,,,
1,1.178,1,lower,0.3159043535141558,0.009082666053692753,,,,,
2,1.178,0,upper,0.3457415278046016,0.008428946965922264,,,,,
3,1.178,0,lower,0.3021508847691663,0.0073231189379560436,,,,,
4,1.178,ATE,upper,0.08011682158351244,0.012916529145686079,,,,,
5,1.178,ATE,lower,-0.02983717429044591,0.01191414333078356,,,,,
6,1.178,ATT,upper,0.08478236073664432,0.012188251991925978,,,,,
7,1.178,ATT,lower,-0.029682995402651333,0.014253055919787518,,,,,
8,1.178,ATC,upper,0.02993200016792925,0.01129841489457586,,,,,
9,1.178,ATC,lower,-0.07724733763238881,0.014105407788845177,,,,,
0,1.179,1,upper,0.382469355194632,0.011168398492919632,,,,,
1,1.179,1,lower,0.31575916353707145,0.009078218373341357,,,,,
2,1.179,0,upper,0.34587398046577866,0.00843244060704446,,,,,
3,1.179,0,lower,0.302055517006799,0.007320810243166926,,,,,
4,1.179,ATE,upper,0.08041383818783297,0.012920643030128095,,,,,
5,1.179,ATE,lower,-0.030114816928707187,0.011913029872297887,,,,,
6,1.179,ATT,upper,0.08503278844597427,0.012184504206706373,,,,,
7,1.179,ATT,lower,-0.030030804931886743,0.014260817106867569,,,,,
8,1.179,ATC,upper,0.030166487500674473,0.011292807759409634,,,,,
9,1.179,ATC,lower,-0.07757300817832001,0.014114722932584884,,,,,
0,1.18,1,upper,0.3826710040365851,0.011174831719892468,,,,,
1,1.18,1,lower,0.3156142196446942,0.009073778773623654,,,,,
2,1.18,0,upper,0.34600643312695567,0.008435934948302335,,,,,
3,1.18,0,lower,0.30196031088470693,0.007318506014695101,,,,,
4,1.18,ATE,upper,0.08071069315187823,0.012924761527535621,,,,,
5,1.18,ATE,lower,-0.03039221348226146,0.011911924912005567,,,,,
6,1.18,ATT,upper,0.08528279170155952,0.012180765575033232,,,,,
7,1.18,ATT,lower,-0.030378614461122094,0.014268586555484903,,,,,
8,1.18,ATC,upper,0.030400577397262426,0.01128721253766618,,,,,
9,1.18,ATC,lower,-0.07789867872425113,0.014124041985379872,,,,,
0,1.181,1,upper,0.38287265287853833,0.01118126550902002,,,,,
1,1.181,1,lower,0.3154695212119144,0.009069347233430478,,,,,
2,1.181,0,upper,0.3461388857881327,0.008439429988826222,,,,,
3,1.181,0,lower,0.3018652659922881,0.007316206240311877,,,,,
4,1.181,ATE,upper,0.08100738688625027,0.012928884625988736,,,,,
5,1.181,ATE,lower,-0.030669364576218244,0.01191082842902782,,,,,
6,1.181,ATT,upper,0.08553237158160616,0.012177036069115988,,,,,
7,1.181,ATT,lower,-0.030726423990357528,0.014276364239523645,,,,,
8,1.181,ATC,upper,0.030634270867268602,0.011281629196539886,,,,,
9,1.181,ATC,lower,-0.07822434927018232,0.014133364935267354,,,,,
0,1.182,1,upper,0.38307430172049145,0.011187699859332432,,,,,
1,1.182,1,lower,0.3153250676157384,0.009064923731724833,,,,,
2,1.182,0,upper,0.34627133844930963,0.008442925727747715,,,,,
3,1.182,0,lower,0.3017703819203302,0.007313910907831702,,,,,
4,1.182,ATE,upper,0.08130391980016127,0.012933012313609433,,,,,
5,1.182,ATE,lower,-0.03094627083357127,0.01190974040255647,,,,,
6,1.182,ATT,upper,0.08578152916067132,0.01217331566126601,,,,,
7,1.182,ATT,lower,-0.031074233519592865,0.014284150132963892,,,,,
8,1.182,ATC,upper,0.03086756891685169,0.011276057703338211,,,,,
9,1.182,ATC,lower,-0.07855001981611341,0.014142691770330708,,,,,
0,1.183,1,upper,0.38327595056244473,0.011194134769862002,,,,,
1,1.183,1,lower,0.31518085823527864,0.009060508247541591,,,,,
2,1.183,0,upper,0.34640379111048664,0.00844642216419967,,,,,
3,1.183,0,lower,0.30167565826100456,0.007311620005111976,,,,,
4,1.183,ATE,upper,0.08160029230144014,0.012937144578561419,,,,,
5,1.183,ATE,lower,-0.03122293287520806,0.011908660811853652,,,,,
6,1.183,ATT,upper,0.08603026550967889,0.012169604323896138,,,,,
7,1.183,ATT,lower,-0.031422043048828285,0.014291944209881328,,,,,
8,1.183,ATC,upper,0.031100472548768587,0.011270498025481187,,,,,
9,1.183,ATC,lower,-0.07887569036204464,0.014152022478699304,,,,,
0,1.184,1,upper,0.38347759940439796,0.011200570239643175,,,,,
1,1.184,1,lower,0.31503689245174527,0.009056100759987192,,,,,
2,1.184,0,upper,0.34653624377166364,0.008449919297316208,,,,,
3,1.184,0,lower,0.30158109460786026,0.007309333520052866,,,,,
4,1.184,ATE,upper,0.08189650479653765,0.01294128140904995,,,,,
5,1.184,ATE,lower,-0.031499351319918364,0.011907589636251504,,,,,
6,1.184,ATT,upper,0.08627858169593478,0.012165902029520264,,,,,
7,1.184,ATT,lower,-0.03176985257806363,0.014299746444446837,,,,,
8,1.184,ATC,upper,0.03133298276238828,0.011264950130500957,,,,,
9,1.184,ATC,lower,-0.07920136090797575,0.014161357048548292,,,,,
0,1.185,1,upper,0.383679248246351,0.01120700626771252,,,,,
1,1.185,1,lower,0.3148931696484373,0.009051701248239327,,,,,
2,1.185,0,upper,0.3466686964328407,0.00845341712623271,,,,,
3,1.185,0,lower,0.3014866905558182,0.007307051440597116,,,,,
4,1.185,ATE,upper,0.08219255769053288,0.012945422793321639,,,,,
5,1.185,ATE,lower,-0.03177552678440335,0.011906526855151877,,,,,
6,1.185,ATT,upper,0.08652647878314215,0.012162208750752882,,,,,
7,1.185,ATT,lower,-0.03211766210729906,0.014307556810926159,,,,,
8,1.185,ATC,upper,0.031565100553706586,0.0112594139860413,,,,,
9,1.185,ATC,lower,-0.07952703145390694,0.014170695468098371,,,,,
0,1.186,1,upper,0.3838808970883043,0.011213442853108737,,,,,
1,1.186,1,lower,0.3147496892107336,0.009047309691546653,,,,,
2,1.186,0,upper,0.3468011490940176,0.008456915650085816,,,,,
3,1.186,0,lower,0.3013924457011659,0.0073047737547298755,,,,,
4,1.186,ATE,upper,0.08248845138713838,0.012949568719664267,,,,,
5,1.186,ATE,lower,-0.032051459883284,0.011905472448026023,,,,,
6,1.186,ATT,upper,0.0867739578314165,0.01215852446030867,,,,,
7,1.186,ATT,lower,-0.03246547163653438,0.014315375283679451,,,,,
8,1.186,ATC,upper,0.03179682691535981,0.011253889559857167,,,,,
9,1.186,ATC,lower,-0.07985270199983806,0.014180037725615607,,,,,
0,1.187,1,upper,0.3840825459302574,0.01121987999487265,,,,,
1,1.187,1,lower,0.31460645052608416,0.009042926069228479,,,,,
2,1.187,0,upper,0.34693360175519466,0.00846041486801342,,,,,
3,1.187,0,lower,0.30129835964155083,0.007302500450478499,,,,,
4,1.187,ATE,upper,0.08278418628870668,0.012953719176406612,,,,,
5,1.187,ATE,lower,-0.032327151229110514,0.01190442639441431,,,,,
6,1.187,ATT,upper,0.08702101989730138,0.012154849131002026,,,,,
7,1.187,ATT,lower,-0.03281328116576983,0.014323201837160977,,,,,
8,1.187,ATC,upper,0.03202816283663968,0.011248376819814209,,,,,
9,1.187,ATC,lower,-0.08017837254576926,0.014189383809411215,,,,,
0,1.188,1,upper,0.38428419477221065,0.011226317692047199,,,,,
1,1.188,1,lower,0.3144634529840014,0.009038550360674481,,,,,
2,1.188,0,upper,0.3470660544163716,0.008463914779154676,,,,,
3,1.188,0,lower,0.3012044319759755,0.0073002315159123865,,,,,
4,1.188,ATE,upper,0.08307976279623511,0.01295787415191827,,,,,
5,1.188,ATE,lower,-0.03260260143237019,0.011903388673925932,,,,,
6,1.188,ATT,upper,0.0872676660337822,0.012151182735746668,,,,,
7,1.188,ATT,lower,-0.03316109069500515,0.014331036445918686,,,,,
8,1.188,ATC,upper,0.03225910930350655,0.011242875733888318,,,,,
9,1.188,ATC,lower,-0.08050404309170037,0.014198733707841357,,,,,
0,1.189,1,upper,0.3844858436141638,0.011232755943677437,,,,,
1,1.189,1,lower,0.3143206959760517,0.00903418254534439,,,,,
2,1.189,0,upper,0.3471985070775486,0.008467415382649985,,,,,
3,1.189,0,lower,0.30111066230479144,0.0072979669391427795,,,,,
4,1.189,ATE,upper,0.08337518130937242,0.012962033634609479,,,,,
5,1.189,ATE,lower,-0.032877811101496894,0.011902359266238591,,,,,
6,1.189,ATT,upper,0.0875138972903027,0.0121475252475552,,,,,
7,1.189,ATT,lower,-0.033508900224240586,0.014338879084593862,,,,,
8,1.189,ATC,upper,0.032489667298604134,0.011237386270165151,,,,,
9,1.189,ATC,lower,-0.08082971363763158,0.014208087409306944,,,,,
0,1.19,1,upper,0.384687492456117,0.011239194748810523,,,,,
1,1.19,1,lower,0.3141781788958465,0.00902982260276771,,,,,
2,1.19,0,upper,0.3473309597387256,0.008470916677641003,,,,,
3,1.19,0,lower,0.3010170502296934,0.007295706708322601,,,,,
4,1.19,ATE,upper,0.08367044222642364,0.012966197612930922,,,,,
5,1.19,ATE,lower,-0.03315278084287912,0.011901338151098244,,,,,
6,1.19,ATT,upper,0.08775971471277862,0.012143876639538665,,,,,
7,1.19,ATT,lower,-0.03385670975347593,0.014346729727920745,,,,,
8,1.19,ATC,upper,0.032719837801272966,0.011231908396839699,,,,,
9,1.19,ATC,lower,-0.0811553841835627,0.014217444902253419,,,,,
0,1.191,1,upper,0.3848891412980703,0.011245634106495712,,,,,
1,1.191,1,lower,0.31403590113903374,0.009025470512543418,,,,,
2,1.191,0,upper,0.34746341239990264,0.008474418663270634,,,,,
3,1.191,0,lower,0.3009235953537139,0.007293450811646267,,,,,
4,1.191,ATE,upper,0.08396554594435636,0.012970366075373578,,,,,
5,1.191,ATE,lower,-0.0334275112608689,0.011900325308318782,,,,,
6,1.191,ATT,upper,0.08800511934361309,0.012140236884906147,,,,,
7,1.191,ATT,lower,-0.034204519282711336,0.014354588350726174,,,,,
8,1.191,ATC,upper,0.032949621787564526,0.011226442082215795,,,,,
9,1.191,ATC,lower,-0.08148105472949389,0.014226806175170576,,,,,
0,1.192,1,upper,0.3850907901400234,0.01125207401578436,,,,,
1,1.192,1,lower,0.3138938621032894,0.009021126254339675,,,,,
2,1.192,0,upper,0.3475958650610796,0.00847792133868303,,,,,
