,Lambda,estimand,side,estimate,sterr_if,sterr_boot,bootmean,quantiles50,quantiles90,quantiles95
0,1.003,1,upper,0.3469791590108707,0.01004590099569918,,,,,
1,1.003,1,lower,0.3457710753704952,0.010008072319369472,,,,,
2,1.003,0,upper,0.32256231209862724,0.00782918608505437,,,,,
3,1.003,0,lower,0.3217687846399905,0.007809095597838741,,,,,
4,1.003,ATE,upper,0.0252103743708801,0.012280480521687996,,,,,
5,1.003,ATE,lower,0.023208763271867935,0.012262212914976372,,,,,
6,1.003,ATT,upper,0.033267408465958825,0.013015204018721069,,,,,
7,1.003,ATT,lower,0.031183672213540754,0.01305031250681047,,,,,
8,1.003,ATC,upper,-0.018303891086958488,0.012498320515921707,,,,,
9,1.003,ATC,lower,-0.020254992094436312,0.012548552499762644,,,,,
0,1.004,1,upper,0.34718080785282385,0.010052217931335757,,,,,
1,1.004,1,lower,0.3455708306445602,0.01000180476924162,,,,,
2,1.004,0,upper,0.3226947647598042,0.007832542579004426,,,,,
3,1.004,0,lower,0.3216372542697695,0.007805768569092292,,,,,
4,1.004,ATE,upper,0.02554355358305434,0.012283556332869977,,,,,
5,1.004,ATE,lower,0.022876065884755974,0.012259211642615859,,,,,
6,1.004,ATT,upper,0.033612796136846,0.013009312011031521,,,,,
7,1.004,ATT,lower,0.03083586268430533,0.01305612056834162,,,,,
8,1.004,ATC,upper,-0.017980488241777712,0.012489997142950699,,,,,
9,1.004,ATC,lower,-0.020580662640367498,0.012556947009478429,,,,,
0,1.005,1,upper,0.347382456694777,0.010058535639285018,,,,,
1,1.005,1,lower,0.3453709844155923,0.009995550462711963,,,,,
2,1.005,0,upper,0.3228272174209812,0.007835899946597065,,,,,
3,1.005,0,lower,0.32150598565152905,0.007802449029115141,,,,,
4,1.005,ATE,upper,0.025876471043247962,0.012286639705518923,,,,,
5,1.005,ATE,lower,0.02254376699461112,0.01225622396340636,,,,,
6,1.005,ATT,upper,0.033957496469084546,0.013003436104827938,,,,,
7,1.005,ATT,lower,0.030488053155069975,0.013061943359143461,,,,,
8,1.005,ATC,upper,-0.01765772898434861,0.012481693720449757,,,,,
9,1.005,ATC,lower,-0.02090633318629863,0.012565348477871177,,,,,
0,1.006,1,upper,0.34758410553673025,0.010064854118092622,,,,,
1,1.006,1,lower,0.3451715354952308,0.009989309359432314,,,,,
2,1.006,0,upper,0.3229596700821582,0.007839258186709807,,,,,
3,1.006,0,lower,0.3213749780046966,0.0077991369540933225,,,,,
4,1.006,ATE,upper,0.026209127532033607,0.012289730616355493,,,,,
5,1.006,ATE,lower,0.02221186541307248,0.012253249837565094,,,,,
6,1.006,ATT,upper,0.034301511512392274,0.012997576244968372,,,,,
7,1.006,ATT,lower,0.030140243625834555,0.013067780828731723,,,,,
8,1.006,ATC,upper,-0.017335611395423257,0.012473410185571743,,,,,
9,1.006,ATC,lower,-0.0212320037322298,0.012573756880377705,,,,,
0,1.007,1,upper,0.3477857543786834,0.010071173366307697,,,,,
1,1.007,1,lower,0.3449724826998351,0.009983081419215856,,,,,
2,1.007,0,upper,0.3230921227433352,0.007842617298221803,,,,,
3,1.007,0,lower,0.32124423055180035,0.007795832320310559,,,,,
4,1.007,ATE,upper,0.026541523826883098,0.012292829042196831,,,,,
5,1.007,ATE,lower,0.021880359956499874,0.012250289225468381,,,,,
6,1.007,ATT,upper,0.034644843308344796,0.012991732376540995,,,,,
7,1.007,ATT,lower,0.029792434096599204,0.01307363292681549,,,,,
8,1.007,ATC,upper,-0.017014133563377668,0.012465146475720848,,,,,
9,1.007,ATC,lower,-0.021557674278160934,0.01258217219254162,,,,,
0,1.008,1,upper,0.34798740322063665,0.01007749338248284,,,,,
1,1.008,1,lower,0.344773824850462,0.009976866602036316,,,,,
2,1.008,0,upper,0.3232245754045122,0.007845977280013827,,,,,
3,1.008,0,lower,0.3211137425184534,0.007792535104147751,,,,,
4,1.008,ATE,upper,0.026873660702183243,0.012295934959956083,,,,,
5,1.008,ATE,lower,0.021549249445949808,0.012247342087650834,,,,,
6,1.008,ATT,upper,0.03498749389041654,0.012985904444862927,,,,,
7,1.008,ATT,lower,0.029444624567363777,0.01307949960329646,,,,,
8,1.008,ATC,upper,-0.016693293584173385,0.012456902528551337,,,,,
9,1.008,ATC,lower,-0.021883344824092137,0.012590594390012819,,,,,
0,1.009,1,upper,0.3481890520625898,0.010083814165174093,,,,,
1,1.009,1,lower,0.34457556077284196,0.009970664868027182,,,,,
2,1.009,0,upper,0.3233570280656892,0.007849338130968291,,,,,
3,1.009,0,lower,0.32098351313333906,0.007789245282082499,,,,,
4,1.009,ATE,upper,0.027205538929250716,0.012299048346641887,,,,,
5,1.009,ATE,lower,0.021218532707152796,0.012244408384804565,,,,,
6,1.009,ATT,upper,0.0353294652840203,0.012980092395479129,,,,,
7,1.009,ATT,lower,0.02909681503812845,0.013085380808268123,,,,,
8,1.009,ATC,upper,-0.016373089561320397,0.012448678281966344,,,,,
9,1.009,ATC,lower,-0.02220901537002324,0.012599023448546933,,,,,
0,1.01,1,upper,0.348390700904543,0.01009013571294095,,,,,
1,1.01,1,lower,0.3443776892973558,0.009964476177480903,,,,,
2,1.01,0,upper,0.3234894807268662,0.007852699849969221,,,,,
3,1.01,0,lower,0.32085354162819524,0.007785962830688614,,,,,
4,1.01,ATE,upper,0.027537159276347763,0.012302169179357897,,,,,
5,1.01,ATE,lower,0.020888208570489588,0.0122414880777784,,,,,
6,1.01,ATT,upper,0.03567075950654769,0.012974296174161234,,,,,
7,1.01,ATT,lower,0.02874900550889303,0.01309127649201505,,,,,
8,1.01,ATC,upper,-0.016053519605839322,0.012440473674116607,,,,,
9,1.01,ATC,lower,-0.022534685915954453,0.012607459344004814,,,,,
0,1.011,1,upper,0.3485923497464962,0.01009645802434633,,,,,
1,1.011,1,lower,0.34418020925901205,0.009958300490848115,,,,,
2,1.011,0,upper,0.3236219333880432,0.007856062435902271,,,,,
3,1.011,0,lower,0.3207238272377996,0.007782687726635637,,,,,
4,1.011,ATE,upper,0.02786852250869664,0.01230529743530228,,,,,
5,1.011,ATE,lower,0.020558275870968895,0.012238581127577098,,,,,
6,1.011,ATT,upper,0.036011378567408235,0.012968515726906443,,,,,
